May 2018 SMD Report,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"TABLE 1.  U.S. SUGAR SUPPLY AND USE, FISCAL YEAR 2018 (SHORT TONS, RAW VALUE)  1/",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ITEM,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,TOTAL,,
Melt,"528,114","528,225","484,214","486,944","483,918","546,894","544,818","527,039",0,0,0,0,"4,130,166",,
Miscellaneous supply adjustment,"85,042","46,627","47,110","-66,625","16,889","-24,111","-12,647","-19,542",0,0,0,0,"72,742",,
Use,"622,345","574,853","554,925","429,098","500,807","522,783","532,171","507,497",0,0,0,0,"4,244,477",,
Ending stocks,"952,060","1,585,234","2,067,019","2,220,852","2,325,078","2,415,224","2,335,629","2,119,615",0,0,0,0,"2,119,615",,
,,,,,,,,,,,,,,,
1/  Numbers may not add due to rounding.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"TABLE 1-B:  IMPORTS BY CANE REFINERS AND NON REPORTERS OF RAW AND REFINED SUGAR, FROM MEXICO AND THE REST OF THE WORLD, FY 2018 (SHORT TONS, RAW VALUE) 1/",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ITEM,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,TOTAL,,
,,,,,,,,,,,,,,,
Cane Refiner Raw Imports from MX,0,23,0,"18,908","111,626","159,081","191,360","124,691",0,0,0,0,"605,689",,
Cane Refiner Refined Imports from MX,793,381,"2,517","3,350","2,263","2,670",902,"3,386",0,0,0,0,"16,262",,
Non Reporter Refined Imports from MX,"12,712","21,590","19,858","49,076","-48,545","77,933","34,640","9,712",0,0,0,0,"176,976",,
Total Imports from MX,"13,505","21,994","22,375","71,334","65,344","239,684","226,902","137,789",0,0,0,0,"798,927",,
,,,,,,,,,0,0,0,0,,,
Cane Refiner Raw Imports from ROW,"238,909","284,499","114,901","74,308","145,282","62,985","92,876","94,973",0,0,0,0,"1,108,733",,
Cane Refiner Refined Imports from ROW,"20,017",563,936,"13,046","5,754","2,715","4,630","10,887",0,0,0,0,"58,548",,
Non Reporter Refined Imports from ROW,"105,152","-55,131","76,986","96,241","-43,895","40,031","3,335","53,185",0,0,0,0,"275,904",,
Total Imports from ROW,"364,078","229,931","192,823","183,595","107,141","105,731","100,841","159,045",0,0,0,0,"1,443,185",,
,,,,,,,,,,,,,,,
Total Cane Refiner Raw Imports,"238,909","284,522","114,901","93,216","256,908","222,066","284,236","219,664",0,0,0,0,"1,714,422",,
Total Cane Refiner Refined Imports,"20,810",944,"3,453","16,396","8,017","5,385","5,532","14,273",0,0,0,0,"74,810",,
Total Non Reporter Refined Imports,"117,864","-33,541","96,844","145,317","-92,439","117,965","37,975","62,897",0,0,0,0,"452,882",,
Total Imports,"377,583","251,925","215,198","254,929","172,486","345,416","327,743","296,834",0,0,0,0,"2,242,114",,
,,,,,,,,,,,,,,,
"1/  Detailed information about the construction of this table was published in the May 2015 SMD report, which may be viewed here:  http://www.fsa.usda.gov/Assets/USDA-FSA-Public/usdafiles/EPAS/PDF/may_2015_smd_notes.pdf  ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"TABLE 2.  U. S. SUGAR SUPPLY AND USE BY BEET PROCESSORS, FISCAL YEAR 2018 (SHORT TONS, RAW VALUE)    1/",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ITEM,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,TOTAL,,
,,,,,,,,,,,,,,,
